claim_id,validator_pass,validator_notes
NGA-INF-01-01-C1,true,"Unit matches indicator (%); date clear (Jan 2026); no duplicate within this week's set. Reproducible only if the allafrica.com syndication is trusted to accurately reflect NCC's original figure — recommend Scout pull NCC's own release next cycle."
NGA-INF-01-02-C1,true,"Unit/date clean; directly reproducible from DataReportal's published report."
KEN-INF-01-01-C1,true,"Unit/date clean; explicit demand-side survey methodology stated; reproducible from cited article."
KEN-INF-01-02-C1,true,"Unit/date clean; reproducible from DataReportal report."
ZAF-INF-01-01-C1,true,"Unit/date clean; reproducible from ICASA's published PDF report."
NGA-INF-02-01-C1,true,"Unit is % of average income; registry defines INF-02 as % of monthly GNI per capita — A4AI's 'average income' proxy is a close but not identical construct. Note the definitional gap, otherwise consistent."
KEN-INF-02-01-C1,true,"Same GNI-vs-average-income proxy caveat as NGA-INF-02-01-C1."
ZAF-INF-02-01-C1,true,"Same GNI-vs-average-income proxy caveat as NGA-INF-02-01-C1."
KEN-FIN-01-01-C1,true,"Arithmetically sound (98% capped well under registry max of 100) but the underlying measure (registered SIM-linked mobile money subscriptions ÷ population) is NOT the same construct as 'transactions per 100 adults' defined in the registry. CA's own report flags this as supply-side, not demand-side. Recommend flag for lower confidence."
NGA-FIN-02-01-C1,true,"Arithmetic verified: (151-2)/151*100 = 98.68, rounds to 98.7 ✓. However this is a computed transformation the Evidence Extractor performed (converting an ordinal rank to a cardinal index) — not a number the source itself published. Reproducible only if the linear rank-to-index formula is accepted; flag as methodologically fragile."
KEN-FIN-02-01-C1,false,"Value field is empty — source only states 'debut top-20' without a specific rank. Cannot verify or reproduce a numeric claim from this. Does not meet minimum completeness bar."
ZAF-FIN-02-01-C1,true,"Arithmetic verified: (151-30)/151*100 = 80.13, rounds to 80.1 ✓. BUT this claim's source (Sept 2025) is a materially older index edition than the Nigeria claim's source (Mar 2026) gathered the same week — comparing them side by side compares two different report vintages/methodologies, which undermines cross-country comparability even though the arithmetic itself is correct."
NGA-GOV-01-01-C1,true,"Arithmetic verified: 130/220*100 = 59.09, rounds to 59.1 ✓. The 220M population denominator is a casual estimate embedded in the source article, not independently cited from NPC (National Population Commission). Recommend confirming denominator next cycle."
ZAF-GOV-01-01-C1,true,"Arithmetic verified: 28/(28+16)*100 = 63.6 ✓. Combines two DHA-official figures from two articles two months apart (May and July 2026) — minor date mismatch, both figures still plausible as of this week."
NGA-ECO-02-01-C1,true,"Arithmetic verified: 572/285003*100 = 0.2007, rounds to 0.201 ✓. VC and GDP figures are same-year (2025) vintage — consistent."
KEN-ECO-02-01-C1,true,"Arithmetic verified: 1040/147260*100 = 0.706 ✓. Minor vintage mismatch: VC figure is full-year 2025, GDP figure is a 2026 IMF projection rather than a 2025 actual."
ZAF-ECO-02-01-C1,true,"Arithmetic verified: 715/479960*100 = 0.149 ✓. Same vintage mismatch as KEN-ECO-02-01-C1 (2025 VC vs 2026 GDP projection)."
KEN-AI-01-01-C1,true,"Unit/date clean; directly stated by source, no transformation needed."
ZAF-AI-01-01-C1,true,"Unit/date clean; directly stated by source."
ZAF-AI-01-02-C1,true,"Unit/date clean and directly stated, BUT this is a second, materially different value (66.5) for the same (country, indicator) already covered by ZAF-AI-01-01-C1 (52.1) this week, from a different index with a different methodology (outsourcing-AI-readiness vs AI-talent-readiness). Flagging as a within-week conflicting-claim case for the Indicator Agent to resolve, not a duplicate to silently merge."
NGA-AI-02-01-C1,false,"Value (19% of continental AI organisations) is not expressed in the registry's defined unit for AI-02 (a 0-100 index of AI-native company count/stage-mix) and there is no comparable per-country breakdown for KEN or ZAF this cycle to normalize against. Cannot construct a usable indicator value from this claim alone."
