claim_id,critic_pass,source_tier_confirmed,critic_notes
NGA-INF-01-01-C1,true,1,"Origin (NCC) is Tier 1 per SOURCE_HIERARCHY, but this specific claim reaches us only via a French-language AllAfrica syndication — the original NCC release was not directly located this cycle. CONTRADICTS NGA-INF-01-02-C1 (45.5% vs 53.0%) — likely a measurement-definition gap (NCC's operator-reported network penetration vs Kepios's individual-user survey estimate). Recommend Indicator Agent prefer this Tier-1-sourced figure per tie-break rule but note the disagreement and the definitional gap explicitly."
NGA-INF-01-02-C1,true,2,"Kepios/We Are Social/Meltwater is an established, methodologically transparent research house — Tier 2 confirmed. Contradicted by the Tier-1 NCC figure above; see note there."
KEN-INF-01-01-C1,true,1,"Communications Authority of Kenya (regulator) + Kenya National Bureau of Statistics (national stats office) — both Tier 1, joint survey, demand-side methodology explicitly stated. Strong primary source. Contradicts KEN-INF-01-02-C1 (35.0% vs 40.5%); this source's household-survey methodology is more rigorous for a usage measure than Kepios's modeled estimate, so should be preferred."
KEN-INF-01-02-C1,true,2,"Kepios/DataReportal — Tier 2, established research house. Contradicted by the Tier-1 CA+KNBS figure; recommend that one be preferred."
ZAF-INF-01-01-C1,true,1,"ICASA (regulator) reporting on StatsSA (national stats office) General Household Survey data — Tier 1 sourced on both counts. No contradicting South Africa figure was gathered this cycle to cross-check against; single-source for this indicator this week, flag for corroboration next cycle."
NGA-INF-02-01-C1,true,2,"A4AI (Alliance for Affordable Internet) is a credible, established affordability-research body matching the Tier 2 'established research houses' category; Connecting Africa (trade press) is the immediate publisher but is directly relaying A4AI's dataset with methodology attribution. No direct ITU-primary cross-check was performed this cycle — recommend pulling ITU's raw country-level basket data directly next cycle for a Tier-1 corroboration."
KEN-INF-02-01-C1,true,2,"Same sourcing chain and same recommendation as NGA-INF-02-01-C1."
ZAF-INF-02-01-C1,true,2,"Same sourcing chain and same recommendation as NGA-INF-02-01-C1."
KEN-FIN-01-01-C1,true,1,"Communications Authority of Kenya sector statistics report — Tier 1 institution, methodology stated. Authoritative for the number it actually measures (registered subscriptions ÷ population), but that is a structurally different construct from what FIN-01 is meant to capture, per the Validator's note. Not a bias or authority problem — a definitional-fit problem. No contradicting source found this cycle."
NGA-FIN-02-01-C1,true,2,"Chainalysis is a leading, credible on-chain analytics provider — Tier 2 (established research house), methodology publicly documented. However the specific 98.7 figure was NOT published by Chainalysis; it is a linear rank-to-index conversion performed downstream. The underlying #2-of-151 rank claim itself is well-supported by multiple independent secondary reports this cycle citing the same figure consistently. Recommend downstream treat as ordinal (rank-based) evidence, not cardinal, and hold confidence to no higher than medium."
KEN-FIN-02-01-C1,false,3,"Source language ('debut top-20') is too imprecise to support any numeric claim, and comes from a single secondary aggregator without a locatable primary Chainalysis figure for Kenya's exact rank this cycle. Insufficient for a Tier-1-or-2-worthy numeric claim per SOURCE_HIERARCHY's Tier 4 guidance on single-source vagueness."
ZAF-FIN-02-01-C1,false,2,"Chainalysis itself is Tier 2, but this specific claim is drawn from a September 2025 blog post — a materially earlier index edition than the March 2026 edition used for the Nigeria claim gathered in this SAME week's evidence set. Presenting a stale index figure alongside a current one, for the same index, in the same week's cross-country comparison, risks materially misrepresenting South Africa's current standing (the Sub-Saharan Africa region grew 52% YoY per Chainalysis's own reporting this cycle — South Africa's actual current rank is very likely different from #30). Failing this claim pending a same-vintage rank."
NGA-GOV-01-01-C1,true,1,"National Identity Management Commission (NIMC) is Tier 1 (national digital-ID authority) reporting via Biometric Update, a specialist trade publication with a track record of accurately relaying NIMC/World Bank ID4D figures — treating as Tier 1 with a light discount for the secondary channel. No contradicting figure found this cycle."
ZAF-GOV-01-01-C1,true,1,"SAnews is South Africa's official government news agency (effectively a primary government channel) and Joburg ETC directly quotes the Home Affairs Minister — both attributable to DHA officials directly. Treating as Tier 1. No contradicting figure found this cycle."
NGA-ECO-02-01-C1,true,2,"Partech is explicitly named as a Tier 2 example ('established VC-fund state-of-the-ecosystem reports') in SOURCE_HIERARCHY. GDP figure traces to IMF (Tier 1) via a Wikipedia infobox — Tier 1 origin, Tier 3 immediate publisher. No contradicting VC figure found this cycle."
KEN-ECO-02-01-C1,true,2,"Same Partech Tier 2 sourcing. GDP figure via Wikipedia/IMF, same caveat as above. No contradicting VC figure found."
ZAF-ECO-02-01-C1,true,2,"Same Partech Tier 2 sourcing. GDP figure via Worldometer/IMF (Tier 1 origin, Tier 3 aggregator). IMPORTANT: during this cycle's research, South Africa's nominal GDP was cited anywhere from ~US$400B (World Bank/TradingEconomics, 2024 actual) to ~US$480B (IMF, 2026 projection) depending on source and vintage — a ~20% spread that materially changes the computed ECO-02 percentage (0.149% vs ~0.179%). Flagging this GDP-source disagreement explicitly for Red Team attention."
KEN-AI-01-01-C1,true,2,"Strategy& (PwC network) is an established global research/consulting house — Tier 2. Reached only via a BusinessDay Nigeria secondary summary; the original Strategy& Mid-Year Economic Outlook report was not directly located this cycle. No contradicting figure found for Kenya specifically."
ZAF-AI-01-01-C1,true,2,"Same Strategy&/BusinessDay sourcing chain as above. See ZAF-AI-01-02-C1 note for a conflicting parallel claim."
ZAF-AI-01-02-C1,true,3,"Ataraxis is a narrower, commercially-focused outsourcing-industry research firm — single-source claim without independent corroboration found this cycle, and its 'AI readiness' construct (population adoption + workforce literacy + enterprise adoption + education pipeline) measures something meaningfully different from Strategy&'s 'AI talent readiness.' Treating as Tier 3. CONTRADICTS/DIVERGES from ZAF-AI-01-01-C1 (66.5 vs 52.1) — recommend the Indicator Agent prefer the Tier 2 Strategy& figure per tie-break rule and note this as corroborating context only."
NGA-AI-02-01-C1,false,3,"Single secondary source (BusinessDay Nigeria) relaying a Strategy& statistic about organisation counts, not independently corroborated, and — per the Validator's note — not expressed in a unit the registry's AI-02 definition can use. Failing on both authority-for-numeric-precision and fit-for-purpose grounds."
